YEAR;DOY;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;PRECTOTCORR;RH2M;WS2M;T2M_MAX;T2M_MIN
2021;215;17,53;25,34;0;51,38;0,09;36,28;24,48
2021;216;17,46;25,24;0;51,88;0,08;35,13;25,44
2021;217;20,13;25,86;0;51,19;0,07;37,96;24,37
2021;218;20,83;25,44;0;49,81;0,09;37,54;25,18
2021;219;20,09;25,67;0;55,31;0,09;36,44;24,7
2021;220;19,19;26,02;0;56,88;0,09;34,7;25,26
2021;221;20,78;25,1;0;50,69;0,12;37,36;22,87
2021;222;17,04;25;0;58,25;0,09;36,75;25,02
2021;223;16,35;25,9;0;61,88;0,09;35,22;24,65
2021;224;18,6;26,12;0;60,81;0,09;33,76;24,64
2021;225;17,27;25,56;0;53,31;0,08;36,69;24,63
2021;226;16,32;25,63;0;60,12;0,08;32,58;24,77
2021;227;19,26;25,98;0;55,88;0,07;35,05;24,26
2021;228;18,98;25,9;0;57,31;0,08;35,48;24,37
2021;229;19,61;26,15;0;60,88;0,09;35,46;24,05
2021;230;19,9;26,12;0;61,5;0,08;35,2;23,65
2021;231;16,65;25,65;0,01;65,88;0,08;31,01;24,5
2021;232;19,34;26,69;0;59,81;0,09;33,19;24,01
2021;233;20,5;26,75;0;66,81;0,05;31,06;23,4
2021;234;17,34;26,32;0,01;62,81;0,11;34,61;23,96
2021;235;21,83;26,38;0;70,81;0,1;29,86;24,58
2021;236;17,31;25,55;0;63,81;0,08;32,15;23,45
2021;237;18,88;24,65;0;56,38;0,1;34,54;24,07
2021;238;17,21;25,81;0;60,12;0,12;34,93;24,07
2021;239;19,82;26,76;0;65,25;0,09;31,36;24,64
2021;240;19,06;25,97;0;57,44;0,09;36,22;23,98
2021;241;17,83;25,25;0,4;51,75;0,11;38,42;24,87
2021;242;16,96;25,47;0,64;57,06;0,09;36,12;23,63
2021;243;14,02;25,05;0;57,44;0,1;33,52;24,01
